score,datetime,version,config_hash
0,2024-10-02 22:16:03,0.3,
7,2024-10-02 22:16:15,0.3,
1,2024-10-02 22:16:21,0.3,
1,2024-10-02 22:16:21,0.3,
3,2024-10-02 22:16:32,0.3,
5,2024-10-02 22:16:46,0.3,
0,2024-10-02 22:18:55,0.3,
1,2024-10-02 22:18:59,0.3,
5,2024-10-02 22:19:09,0.3,
0,2024-10-02 22:20:58,0.4,
2,2024-10-02 22:21:10,0.4,
0,2024-10-02 22:21:13,0.4,
0,2024-10-02 22:31:01,0.5,
0,2024-10-02 22:31:03,0.5,
3,2024-10-02 22:31:09,0.5,
0,2024-10-02 22:39:02,0.6,d94c6f4da95c90eb793a3a2c44305dc9
0,2024-10-02 22:39:06,0.6,d94c6f4da95c90eb793a3a2c44305dc9
0,2024-10-02 22:39:08,0.6,d94c6f4da95c90eb793a3a2c44305dc9
2,2024-10-02 22:39:13,0.6,d94c6f4da95c90eb793a3a2c44305dc9
0,2024-10-02 22:39:17,0.6,d94c6f4da95c90eb793a3a2c44305dc9
0,2024-10-02 22:47:05,0.7,a5b4f61cc12b5dcbc098642287ca78ef
0,2024-10-02 22:47:13,0.7,a5b4f61cc12b5dcbc098642287ca78ef
0,2024-10-02 22:47:14,0.7,a5b4f61cc12b5dcbc098642287ca78ef
0,2024-10-02 22:47:15,0.7,a5b4f61cc12b5dcbc098642287ca78ef
0,2024-10-02 22:47:17,0.7,a5b4f61cc12b5dcbc098642287ca78ef
0,2024-10-02 22:49:35,0.8,e75663307446f707866db523e8b62184
1,2024-10-02 22:49:44,0.8,e75663307446f707866db523e8b62184
0,2024-10-02 22:49:55,0.8,e75663307446f707866db523e8b62184
1,2024-10-02 22:49:59,0.8,e75663307446f707866db523e8b62184
2,2024-10-02 22:50:05,0.8,e75663307446f707866db523e8b62184
0,2024-10-02 22:58:28,0.8,e75663307446f707866db523e8b62184
0,2024-10-02 22:58:33,0.8,e75663307446f707866db523e8b62184
1,2024-10-02 22:58:36,0.8,e75663307446f707866db523e8b62184
0,2024-10-02 22:58:39,0.8,e75663307446f707866db523e8b62184
1,2024-10-02 22:58:43,0.8,e75663307446f707866db523e8b62184
0,2024-10-02 22:58:46,0.8,e75663307446f707866db523e8b62184
0,2024-10-02 22:58:48,0.8,e75663307446f707866db523e8b62184
2,2024-10-02 22:58:53,0.8,e75663307446f707866db523e8b62184
0,2024-10-02 22:59:01,0.8,e75663307446f707866db523e8b62184
0,2024-10-02 23:03:42,0.9,18f2e095a3ef1f96902a360ce0a2d715
0,2024-10-02 23:03:45,0.9,18f2e095a3ef1f96902a360ce0a2d715
0,2024-10-02 23:03:48,0.9,18f2e095a3ef1f96902a360ce0a2d715
0,2024-10-02 23:03:50,0.9,18f2e095a3ef1f96902a360ce0a2d715
0,2024-10-02 23:03:53,0.9,18f2e095a3ef1f96902a360ce0a2d715
1,2024-10-02 23:03:57,0.9,18f2e095a3ef1f96902a360ce0a2d715
0,2024-10-02 23:07:50,0.9,18f2e095a3ef1f96902a360ce0a2d715
1,2024-10-02 23:07:55,0.9,18f2e095a3ef1f96902a360ce0a2d715
0,2024-10-02 23:07:57,0.9,18f2e095a3ef1f96902a360ce0a2d715
0,2024-10-02 23:08:00,0.9,18f2e095a3ef1f96902a360ce0a2d715
0,2024-10-02 23:08:01,0.9,18f2e095a3ef1f96902a360ce0a2d715
0,2024-10-02 23:08:04,0.9,18f2e095a3ef1f96902a360ce0a2d715
0,2024-10-02 23:08:07,0.9,18f2e095a3ef1f96902a360ce0a2d715
0,2024-10-02 23:20:37,0.9,92a542d998b732f4c98c80d7f4e942e2
12,2024-10-02 23:20:53,0.9,92a542d998b732f4c98c80d7f4e942e2
0,2024-10-02 23:25:29,0.9,92a542d998b732f4c98c80d7f4e942e2
0,2024-10-02 23:25:38,0.9,92a542d998b732f4c98c80d7f4e942e2
7,2024-10-02 23:25:49,0.9,92a542d998b732f4c98c80d7f4e942e2
0,2024-10-03 00:13:58,1.1,fe35a9e1176e63490f0eee15579a16ac
0,2024-10-03 00:14:03,1.1,fe35a9e1176e63490f0eee15579a16ac
1,2024-10-03 00:14:07,1.1,fe35a9e1176e63490f0eee15579a16ac
0,2024-10-03 00:14:42,1.1,fe35a9e1176e63490f0eee15579a16ac
0,2024-10-03 00:14:49,1.1,fe35a9e1176e63490f0eee15579a16ac
2,2024-10-03 00:15:01,1.1,fe35a9e1176e63490f0eee15579a16ac
0,2024-10-03 00:16:43,1.1,fe35a9e1176e63490f0eee15579a16ac
0,2024-10-03 00:16:50,1.1,fe35a9e1176e63490f0eee15579a16ac
2,2024-10-03 00:16:55,1.1,fe35a9e1176e63490f0eee15579a16ac
3,2024-10-03 00:17:02,1.1,fe35a9e1176e63490f0eee15579a16ac
0,2024-10-03 00:17:08,1.1,fe35a9e1176e63490f0eee15579a16ac
0,2024-10-03 00:19:13,1.1,fe35a9e1176e63490f0eee15579a16ac
3,2024-10-03 00:19:20,1.1,fe35a9e1176e63490f0eee15579a16ac
0,2024-10-03 00:21:42,1.2,3e11d8c5ec412e7a9b1d5a1e513f14b7
0,2024-10-03 00:21:44,1.2,3e11d8c5ec412e7a9b1d5a1e513f14b7
0,2024-10-03 00:21:46,1.2,3e11d8c5ec412e7a9b1d5a1e513f14b7
7,2024-10-03 00:22:08,1.2,a685c7747b53a4047278e1fb3969216b
0,2024-10-03 00:22:38,1.2,3e11d8c5ec412e7a9b1d5a1e513f14b7
0,2024-10-03 00:23:11,1.2,3e11d8c5ec412e7a9b1d5a1e513f14b7
1,2024-10-03 00:23:18,1.2,3e11d8c5ec412e7a9b1d5a1e513f14b7
0,2024-10-03 09:12:42,1.3,d7acd23dfd49cf633c4af9d120777ac2
1,2024-10-03 09:12:46,1.3,d7acd23dfd49cf633c4af9d120777ac2
0,2024-10-03 09:12:49,1.3,d7acd23dfd49cf633c4af9d120777ac2
0,2024-10-03 09:12:52,1.3,d7acd23dfd49cf633c4af9d120777ac2
0,2024-10-03 09:12:55,1.3,d7acd23dfd49cf633c4af9d120777ac2
0,2024-10-03 09:12:56,1.3,d7acd23dfd49cf633c4af9d120777ac2
0,2024-10-03 09:12:59,1.3,d7acd23dfd49cf633c4af9d120777ac2
0,2024-10-03 10:36:22,1.3,ec9eabeeb9c9f5c1a7d8be0df01994b0
7,2024-10-03 10:36:34,1.3,ec9eabeeb9c9f5c1a7d8be0df01994b0
